,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ia2c,1000,-1,-3650,-3.65,12.501979843208836
1,ia2c,2000,-1,-5477,-5.477,17.04034832390465
2,ia2c,3000,-1,-4405,-4.405,13.882253959642144
3,ia2c,4000,-1,-4375,-4.375,14.274395784060355
4,ia2c,5000,-1,-4725,-4.725,15.069816687670757
5,ia2c,6000,-1,-3224,-3.224,12.47252276005139
6,ia2c,7000,-1,-5058,-5.058,15.408914173295926
7,ia2c,8000,-1,-3519,-3.519,13.714577609244845
8,ia2c,9000,-1,-2680,-2.68,10.814138893134302
9,ia2c,10000,-1,-1700,-1.7,8.691720197981525
10,ia2c,11000,-1,-2285,-2.285,10.45914790984428
11,ia2c,12000,-1,-1288,-1.288,7.994188889437126
12,ia2c,13000,-1,-390,-0.39,3.9430825504926976
13,ia2c,14000,-1,-819,-0.819,6.1979221518183
14,ia2c,15000,-1,-523,-0.523,4.817620885873025
15,ia2c,16000,-1,-365,-0.365,3.9415447479383006
16,ia2c,17000,-1,-188,-0.188,2.79511287786379
17,ia2c,18000,-1,-287,-0.287,3.601476225105478
18,ia2c,19000,-1,-290,-0.29,4.240035377210902
19,ia2c,20000,-1,-349,-0.349,4.53135730217779
20,ia2c,21000,-1,-377,-0.377,4.805296140718071
21,ia2c,22000,-1,-691,-0.691,5.786148891966054
22,ia2c,23000,-1,-385,-0.385,4.253795364142473
23,ia2c,24000,-1,-224,-0.224,3.9227317012510565
24,ia2c,25000,-1,-387,-0.387,4.25408403772187
25,ia2c,26000,-1,-379,-0.379,4.254569190881729
26,ia2c,27000,-1,-482,-0.482,6.57340672710886
27,ia2c,28000,-1,-322,-0.322,3.942120749038518
28,ia2c,29000,-1,-276,-0.276,4.239082919689116
29,ia2c,30000,-1,-284,-0.284,3.6012975439416284
30,ia2c,31000,-1,-299,-0.299,3.600222076483617
31,ia2c,32000,-1,-473,-0.473,4.827553314050503
32,ia2c,33000,-1,-155,-0.155,2.7944543295606037
33,ia2c,34000,-1,-324,-0.324,3.9417031851726234
34,ia2c,35000,-1,-362,-0.362,4.807177550288736
35,ia2c,36000,-1,-272,-0.272,3.601113161232233
36,ia2c,37000,-1,-259,-0.259,3.6013773753940326
37,ia2c,38000,-1,-258,-0.258,3.6026984331192646
38,ia2c,39000,-1,-457,-0.457,5.303220813807399
39,ia2c,40000,-1,-149,-0.149,2.7958538946089453
40,ia2c,41000,-1,-153,-0.153,3.5798870093900996
41,ia2c,42000,-1,-215,-0.215,3.224092895683994
42,ia2c,43000,-1,-251,-0.251,3.5905429951471133
43,ia2c,44000,-1,-106,-0.106,2.2866490767059116
44,ia2c,45000,-1,-155,-0.155,2.7955276782747123
45,ia2c,46000,-1,-224,-0.224,3.949154846293066
46,ia2c,47000,-1,-157,-0.157,2.7929108471270614
47,ia2c,48000,-1,-205,-0.205,3.2216416622585458
48,ia2c,49000,-1,-153,-0.153,2.7938487790143545
49,ia2c,50000,-1,-261,-0.261,4.237555781343768
50,ia2c,51000,-1,-156,-0.156,2.793145896654881
51,ia2c,52000,-1,-2,-0.002,0.1897261183917491
52,ia2c,53000,-1,-367,-0.367,5.299840657982087
53,ia2c,54000,-1,-53,-0.053,1.618700404645653
54,ia2c,55000,-1,-194,-0.194,3.225269601134144
55,ia2c,56000,-1,-50,-0.05,1.6160136138040424
56,ia2c,57000,-1,-209,-0.209,3.920117217635207
57,ia2c,58000,-1,-97,-0.097,2.2833289294361414
58,ia2c,59000,-1,-196,-0.196,3.2235979898244134
59,ia2c,60000,-1,-58,-0.058,1.6188378547587778
60,ia2c,61000,-1,-115,-0.115,2.2820549949552054
61,ia2c,62000,-1,-255,-0.255,4.248996940455476
62,ia2c,63000,-1,-53,-0.053,1.6193180663476836
63,ia2c,64000,-1,-42,-0.042,1.6193319610259045
64,ia2c,65000,-1,2,0.002,0.20492925608609425
65,ia2c,66000,-1,-53,-0.053,1.6236351191077387
66,ia2c,67000,-1,-238,-0.238,3.6046298006868875
67,ia2c,68000,-1,9,0.009,0.17005587317114337
68,ia2c,69000,-1,-359,-0.359,4.253953337778872
69,ia2c,70000,-1,-5,-0.005,0.14482748357960237
70,ia2c,71000,-1,-150,-0.15,2.794190401529574
71,ia2c,72000,-1,-56,-0.056,1.5870929399376705
72,ia2c,73000,-1,-6,-0.006,0.16113348503647526
73,ia2c,74000,-1,-91,-0.091,2.284889275216635
74,ia2c,75000,-1,-80,-0.08,2.2907640646736196
75,ia2c,76000,-1,-146,-0.146,2.7940443804635597
76,ia2c,77000,-1,-48,-0.048,1.6216337440988335
77,ia2c,78000,-1,-146,-0.146,2.796548587098032
78,ia2c,79000,-1,-90,-0.09,2.286460146164809
79,ia2c,80000,-1,-88,-0.088,2.2847879551503243
80,ia2c,81000,-1,0,0.0,0.161245154965971
81,ia2c,82000,-1,-40,-0.04,1.6212340978402842
82,ia2c,83000,-1,9,0.009,0.19727899026505583
83,ia2c,84000,-1,-156,-0.156,2.7924297663504447
84,ia2c,85000,-1,-195,-0.195,3.2235035287711407
85,ia2c,86000,-1,-95,-0.095,2.2812222601053143
86,ia2c,87000,-1,-41,-0.041,1.6202836171485542
87,ia2c,88000,-1,-28,-0.028,1.6270267361048496
88,ia2c,89000,-1,-104,-0.104,2.2810488815455052
89,ia2c,90000,-1,-82,-0.082,3.1976985473931108
90,ia2c,91000,-1,-54,-0.054,1.6195937762290888
91,ia2c,92000,-1,-198,-0.198,3.221924269749369
92,ia2c,93000,-1,-42,-0.042,1.61809641245508
93,ia2c,94000,-1,-44,-0.044,1.6174251141861256
94,ia2c,95000,-1,-90,-0.09,2.282958606720674
95,ia2c,96000,-1,-88,-0.088,2.283912432647101
96,ia2c,97000,-1,-46,-0.046,1.616132420317098
97,ia2c,98000,-1,-95,-0.095,2.280783856484432
98,ia2c,99000,-1,-93,-0.093,2.2839332301974147
99,ia2c,100000,-1,-41,-0.041,1.617194793461815
