,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ia2c_fp,1000,-1,-5662,-5.662,17.04792526966258
1,ia2c_fp,2000,-1,-3351,-3.351,12.354586152518424
2,ia2c_fp,3000,-1,-3168,-3.168,12.654634566039432
3,ia2c_fp,4000,-1,-1627,-1.627,8.752477991974617
4,ia2c_fp,5000,-1,-1730,-1.73,9.304466669293841
5,ia2c_fp,6000,-1,-1437,-1.437,8.280823087109157
6,ia2c_fp,7000,-1,-1204,-1.204,7.653390359833998
7,ia2c_fp,8000,-1,-818,-0.818,6.418790851866105
8,ia2c_fp,9000,-1,-1188,-1.188,7.986154018048989
9,ia2c_fp,10000,-1,-841,-0.841,6.1899692244792295
10,ia2c_fp,11000,-1,-826,-0.826,6.5977059649547884
11,ia2c_fp,12000,-1,-319,-0.319,3.618181725673822
12,ia2c_fp,13000,-1,-266,-0.266,3.925715730920922
13,ia2c_fp,14000,-1,-188,-0.188,2.7990455516121915
14,ia2c_fp,15000,-1,-317,-0.317,3.602570054835853
15,ia2c_fp,16000,-1,-446,-0.446,4.545006490644429
16,ia2c_fp,17000,-1,-387,-0.387,4.806582049648171
17,ia2c_fp,18000,-1,-189,-0.189,2.794150854911024
18,ia2c_fp,19000,-1,-266,-0.266,3.6046142650774717
19,ia2c_fp,20000,-1,-167,-0.167,2.7962673334286188
20,ia2c_fp,21000,-1,-173,-0.173,2.7959025376432547
21,ia2c_fp,22000,-1,-281,-0.281,3.601394035647863
22,ia2c_fp,23000,-1,-327,-0.327,3.9438649824759473
23,ia2c_fp,24000,-1,-370,-0.37,4.805944236047688
24,ia2c_fp,25000,-1,-162,-0.162,2.7942362104875818
25,ia2c_fp,26000,-1,-307,-0.307,4.533073019486891
26,ia2c_fp,27000,-1,-61,-0.061,1.6178006675731098
27,ia2c_fp,28000,-1,-214,-0.214,3.924564179625554
28,ia2c_fp,29000,-1,-211,-0.211,3.238592132393333
29,ia2c_fp,30000,-1,-110,-0.11,2.283834494879171
30,ia2c_fp,31000,-1,-259,-0.259,3.5994331498167886
31,ia2c_fp,32000,-1,-12,-0.012,0.1409113196304683
32,ia2c_fp,33000,-1,-158,-0.158,2.7951808528250908
33,ia2c_fp,34000,-1,-161,-0.161,2.79769172712077
34,ia2c_fp,35000,-1,-142,-0.142,2.7985417631330787
35,ia2c_fp,36000,-1,-308,-0.308,3.9442535415462334
36,ia2c_fp,37000,-1,-249,-0.249,4.238277834215213
37,ia2c_fp,38000,-1,-62,-0.062,1.6186895934675054
38,ia2c_fp,39000,-1,-159,-0.159,2.7942295897080482
39,ia2c_fp,40000,-1,-118,-0.118,2.2843108369921983
40,ia2c_fp,41000,-1,-165,-0.165,2.7924496414438695
41,ia2c_fp,42000,-1,-71,-0.071,1.6210980846327592
42,ia2c_fp,43000,-1,-512,-0.512,5.548139868460419
43,ia2c_fp,44000,-1,-50,-0.05,1.6160136138040424
44,ia2c_fp,45000,-1,-106,-0.106,2.285774267070132
45,ia2c_fp,46000,-1,-153,-0.153,3.577092534447493
46,ia2c_fp,47000,-1,-212,-0.212,3.922378870022629
47,ia2c_fp,48000,-1,-152,-0.152,2.796228889057546
48,ia2c_fp,49000,-1,-63,-0.063,1.6195774140188544
49,ia2c_fp,50000,-1,-313,-0.313,3.940435382035847
50,ia2c_fp,51000,-1,-154,-0.154,3.578027948465467
51,ia2c_fp,52000,-1,-101,-0.101,2.28271745952056
52,ia2c_fp,53000,-1,-107,-0.107,2.2824440847477514
53,ia2c_fp,54000,-1,-145,-0.145,2.7953488154432535
54,ia2c_fp,55000,-1,-91,-0.091,2.288824807625083
55,ia2c_fp,56000,-1,-137,-0.137,2.7982549919548068
56,ia2c_fp,57000,-1,-60,-0.06,1.6261611236282831
57,ia2c_fp,58000,-1,-104,-0.104,2.287615352282809
58,ia2c_fp,59000,-1,-134,-0.134,2.7996506924971913
59,ia2c_fp,60000,-1,-53,-0.053,1.6248664560510815
60,ia2c_fp,61000,-1,-44,-0.044,1.6254427089257868
61,ia2c_fp,62000,-1,-93,-0.093,2.2869960647102126
62,ia2c_fp,63000,-1,-161,-0.161,2.793399183790243
63,ia2c_fp,64000,-1,-54,-0.054,1.6195937762290886
64,ia2c_fp,65000,-1,-152,-0.152,2.7933664278071353
65,ia2c_fp,66000,-1,20,0.02,0.20396078054371136
66,ia2c_fp,67000,-1,-210,-0.21,3.2227162456536567
67,ia2c_fp,68000,-1,-139,-0.139,2.7949381030713374
68,ia2c_fp,69000,-1,-8,-0.008,0.12623787070447598
69,ia2c_fp,70000,-1,-157,-0.157,3.5783167830699396
70,ia2c_fp,71000,-1,-159,-0.159,2.790648490942563
71,ia2c_fp,72000,-1,-106,-0.106,2.281833473327972
72,ia2c_fp,73000,-1,-36,-0.036,1.6213278508679232
73,ia2c_fp,74000,-1,-155,-0.155,2.793022556299895
74,ia2c_fp,75000,-1,-45,-0.045,1.6183247510929315
75,ia2c_fp,76000,-1,4,0.004,0.13410443691392168
76,ia2c_fp,77000,-1,-44,-0.044,1.6223637076808641
77,ia2c_fp,78000,-1,-97,-0.097,3.1974350657988357
78,ia2c_fp,79000,-1,-87,-0.087,2.284169652193111
79,ia2c_fp,80000,-1,-24,-0.024,1.6332250304229359
80,ia2c_fp,81000,-1,-48,-0.048,1.619782701475726
81,ia2c_fp,82000,-1,-123,-0.123,2.784577346744025
82,ia2c_fp,83000,-1,-40,-0.04,1.6267759526130205
83,ia2c_fp,84000,-1,-142,-0.142,2.7963969675280365
84,ia2c_fp,85000,-1,-190,-0.19,3.2258177257867486
85,ia2c_fp,86000,-1,14,0.014,0.204460265088354
86,ia2c_fp,87000,-1,-148,-0.148,2.7777861688762155
87,ia2c_fp,88000,-1,-146,-0.146,2.7929704617127613
88,ia2c_fp,89000,-1,-143,-0.143,2.794736302408512
89,ia2c_fp,90000,-1,5,0.005,0.13028814220795384
90,ia2c_fp,91000,-1,-94,-0.094,2.282797406692061
91,ia2c_fp,92000,-1,-63,-0.063,2.2928216241129613
92,ia2c_fp,93000,-1,-35,-0.035,1.6235070064523898
93,ia2c_fp,94000,-1,-46,-0.046,1.6179876390133519
94,ia2c_fp,95000,-1,-132,-0.132,2.79724435829264
95,ia2c_fp,96000,-1,-42,-0.042,1.6174782842437176
96,ia2c_fp,97000,-1,-193,-0.193,3.222693128425355
97,ia2c_fp,98000,-1,-87,-0.087,2.285045076141825
98,ia2c_fp,99000,-1,-87,-0.087,2.284169652193111
99,ia2c_fp,100000,-1,18,0.018,0.15387007506334688
