,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ia2c_fp,1000,-1,-3650,-3.65,13.00159605586945
1,ia2c_fp,2000,-1,-3878,-3.878,13.843233581790058
2,ia2c_fp,3000,-1,-2005,-2.005,9.94027036855638
3,ia2c_fp,4000,-1,-3216,-3.216,12.833524223688519
4,ia2c_fp,5000,-1,-3496,-3.496,12.717074506347755
5,ia2c_fp,6000,-1,-2766,-2.766,12.601795268928948
6,ia2c_fp,7000,-1,-3767,-3.767,14.220925110554518
7,ia2c_fp,8000,-1,-3283,-3.283,12.688534627765334
8,ia2c_fp,9000,-1,-3297,-3.297,14.5515219478926
9,ia2c_fp,10000,-1,-1445,-1.445,8.870342439838499
10,ia2c_fp,11000,-1,-4405,-4.405,15.474397403453226
11,ia2c_fp,12000,-1,-2567,-2.567,11.097995810055075
12,ia2c_fp,13000,-1,-1517,-1.517,8.725234151585846
13,ia2c_fp,14000,-1,-1223,-1.223,7.990573884271393
14,ia2c_fp,15000,-1,-677,-0.677,6.223718422293862
15,ia2c_fp,16000,-1,-660,-0.66,6.837865163923605
16,ia2c_fp,17000,-1,-946,-0.946,8.010810445891227
17,ia2c_fp,18000,-1,-511,-0.511,6.041512972757734
18,ia2c_fp,19000,-1,-460,-0.46,5.595569676091971
19,ia2c_fp,20000,-1,-599,-0.599,6.432122433536227
