,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ia2c,1000,-1,-4343,-4.343,14.55662567355498
1,ia2c,2000,-1,-4184,-4.184,14.44168078860629
2,ia2c,3000,-1,-4215,-4.215,13.636670231401798
3,ia2c,4000,-1,-3770,-3.77,12.881657502045302
4,ia2c,5000,-1,-4813,-4.813,14.790268117921324
5,ia2c,6000,-1,-1777,-1.777,8.583197015098744
6,ia2c,7000,-1,-3312,-3.312,12.539962360390081
7,ia2c,8000,-1,-5881,-5.881,16.96716944572665
8,ia2c,9000,-1,-3733,-3.733,13.719683341826808
9,ia2c,10000,-1,-5703,-5.703,17.348509763089165
10,ia2c,11000,-1,-4053,-4.053,13.16252981003272
11,ia2c,12000,-1,-1604,-1.604,8.316801308195355
12,ia2c,13000,-1,-3481,-3.481,13.299836051621087
13,ia2c,14000,-1,-2978,-2.978,11.854852002450306
14,ia2c,15000,-1,-2171,-2.171,10.381125131699356
15,ia2c,16000,-1,-1182,-1.182,7.3637542055666145
16,ia2c,17000,-1,-2143,-2.143,10.405313594505456
17,ia2c,18000,-1,-1260,-1.26,7.640445013217488
18,ia2c,19000,-1,-1659,-1.659,9.403229179383004
19,ia2c,20000,-1,-1155,-1.155,7.477364174627314
