,episode,step,action,reward
0,1,1,"3,6,5,0,5",0
1,1,2,"1,0,6,7,0",-1
2,1,3,"4,4,6,3,7",0
3,1,4,"4,0,5,4,3",1
4,1,5,"2,0,1,5,0",0
5,1,6,"1,2,1,5,1",1
6,1,7,"1,5,6,3,4",0
7,1,8,"4,2,2,6,5",1
8,1,9,"1,0,5,4,3",1
9,1,10,"4,0,5,3,5",0
10,1,11,"4,4,5,2,3",0
11,1,12,"1,3,6,7,3",-50
12,1,13,"4,2,5,2,4",0
13,1,14,"2,0,6,1,3",0
14,1,15,"6,6,6,2,4",0
15,1,16,"5,4,5,0,7",-1
16,1,17,"4,0,5,4,3",0
17,1,18,"4,4,5,2,3",0
18,1,19,"2,0,6,4,6",1
19,1,20,"4,7,2,0,0",-1
20,1,21,"4,4,5,2,3",0
21,1,22,"4,0,6,4,7",-1
22,1,23,"2,0,6,3,3",1
23,1,24,"4,6,2,4,3",0
24,1,25,"4,0,6,4,1",1
25,1,26,"4,4,1,7,3",-51
26,1,27,"2,0,5,4,6",1
27,1,28,"2,7,4,1,5",-1
28,1,29,"4,2,5,5,6",0
29,1,30,"4,7,5,7,3",-2
30,1,31,"0,2,6,3,3",0
31,1,32,"3,0,1,5,3",1
32,1,33,"1,4,5,2,6",1
33,1,34,"4,4,2,2,4",0
34,1,35,"4,4,7,4,6",-1
35,1,36,"4,4,2,5,3",0
36,1,37,"4,6,5,4,4",0
37,1,38,"4,7,5,6,3",-1
38,1,39,"2,0,2,4,6",0
39,1,40,"4,1,5,4,4",0
40,1,41,"4,4,1,1,5",0
41,1,42,"2,0,0,2,1",0
42,1,43,"2,4,5,2,6",0
43,1,44,"4,0,5,2,1",0
44,1,45,"1,0,2,4,6",0
45,1,46,"1,4,6,3,3",0
46,1,47,"1,4,6,5,6",0
47,1,48,"2,4,6,6,3",0
48,1,49,"6,6,4,3,3",1
49,1,50,"2,4,7,3,7",-2
50,1,51,"1,6,6,6,6",0
51,1,52,"2,0,2,4,7",-1
52,1,53,"4,0,1,4,6",1
53,1,54,"0,4,5,0,0",1
