,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ma2c_cu,1000,-1,-3609,-3.609,12.486557532002164
1,ma2c_cu,2000,-1,-3922,-3.922,13.6011733317387
2,ma2c_cu,3000,-1,-3820,-3.82,12.955832663321953
3,ma2c_cu,4000,-1,-5455,-5.455,16.481989412689234
4,ma2c_cu,5000,-1,-4412,-4.412,15.440474604104628
5,ma2c_cu,6000,-1,-5302,-5.302,16.999376341501474
6,ma2c_cu,7000,-1,-3844,-3.844,14.14481049713993
7,ma2c_cu,8000,-1,-3268,-3.268,12.948442995202166
8,ma2c_cu,9000,-1,-3459,-3.459,14.223512892390541
9,ma2c_cu,10000,-1,-2365,-2.365,10.694006498969411
10,ma2c_cu,11000,-1,-1781,-1.781,9.104231928065103
11,ma2c_cu,12000,-1,-1613,-1.613,8.399597073669664
12,ma2c_cu,13000,-1,-1556,-1.556,8.717732732769456
13,ma2c_cu,14000,-1,-2516,-2.516,12.299339169239946
14,ma2c_cu,15000,-1,-682,-0.682,5.55795609914292
15,ma2c_cu,16000,-1,-1092,-1.092,8.119454168846573
16,ma2c_cu,17000,-1,-877,-0.877,6.390764508257206
17,ma2c_cu,18000,-1,-845,-0.845,6.768085031971748
18,ma2c_cu,19000,-1,-402,-0.402,4.259154376164357
19,ma2c_cu,20000,-1,-559,-0.559,5.068384259307891
20,ma2c_cu,21000,-1,-401,-0.401,4.2549029366132425
21,ma2c_cu,22000,-1,-382,-0.382,4.2609947195461295
22,ma2c_cu,23000,-1,-282,-0.282,3.618629022157426
23,ma2c_cu,24000,-1,-294,-0.294,3.617120954571467
24,ma2c_cu,25000,-1,-382,-0.382,4.259351593846181
25,ma2c_cu,26000,-1,-640,-0.64,6.391588222030579
26,ma2c_cu,27000,-1,-537,-0.537,5.089069757824114
27,ma2c_cu,28000,-1,-374,-0.374,4.2558341133084605
28,ma2c_cu,29000,-1,-406,-0.406,4.549853184444527
29,ma2c_cu,30000,-1,-480,-0.48,4.812442207445197
30,ma2c_cu,31000,-1,-332,-0.332,4.253442840805551
31,ma2c_cu,32000,-1,-470,-0.47,5.316493205111805
32,ma2c_cu,33000,-1,-255,-0.255,3.608874478282667
33,ma2c_cu,34000,-1,-647,-0.647,5.9873525869118485
34,ma2c_cu,35000,-1,-285,-0.285,3.616044109244244
35,ma2c_cu,36000,-1,-328,-0.328,3.9553022640501188
36,ma2c_cu,37000,-1,-266,-0.266,3.6168002433089943
37,ma2c_cu,38000,-1,-205,-0.205,3.230321191460689
38,ma2c_cu,39000,-1,-277,-0.277,3.601703902321788
39,ma2c_cu,40000,-1,-447,-0.447,5.555824961245628
40,ma2c_cu,41000,-1,-201,-0.201,3.2321198925782446
41,ma2c_cu,42000,-1,-325,-0.325,3.95946650446749
42,ma2c_cu,43000,-1,-541,-0.541,5.075068373923646
43,ma2c_cu,44000,-1,-363,-0.363,5.528402210404016
44,ma2c_cu,45000,-1,-406,-0.406,4.5417137734560065
45,ma2c_cu,46000,-1,-300,-0.3,3.9628272735510452
46,ma2c_cu,47000,-1,-537,-0.537,5.547128175912288
47,ma2c_cu,48000,-1,-325,-0.325,3.941494006084495
48,ma2c_cu,49000,-1,-158,-0.158,2.7973265808625207
49,ma2c_cu,50000,-1,-391,-0.391,4.552155423532901
50,ma2c_cu,51000,-1,-83,-0.083,2.2978492117630345
51,ma2c_cu,52000,-1,-316,-0.316,4.535211571691005
52,ma2c_cu,53000,-1,-356,-0.356,4.25996056319774
53,ma2c_cu,54000,-1,-142,-0.142,2.8013989362459606
54,ma2c_cu,55000,-1,-366,-0.366,4.256999412731932
55,ma2c_cu,56000,-1,-99,-0.099,2.2915494757914354
56,ma2c_cu,57000,-1,-310,-0.31,3.9570064442707205
57,ma2c_cu,58000,-1,-149,-0.149,2.802641432648851
58,ma2c_cu,59000,-1,-107,-0.107,2.2903167903152615
59,ma2c_cu,60000,-1,-569,-0.569,6.191061217594282
60,ma2c_cu,61000,-1,-302,-0.302,4.535062954359069
61,ma2c_cu,62000,-1,-318,-0.318,4.531983671638723
62,ma2c_cu,63000,-1,-126,-0.126,2.8046611203494796
63,ma2c_cu,64000,-1,-291,-0.291,3.9489642945967476
64,ma2c_cu,65000,-1,-204,-0.204,3.225582738049049
65,ma2c_cu,66000,-1,-361,-0.361,5.301950490149828
66,ma2c_cu,67000,-1,-206,-0.206,3.2251455781096157
67,ma2c_cu,68000,-1,-93,-0.093,2.2878704071690765
68,ma2c_cu,69000,-1,-71,-0.071,2.3030325659877238
69,ma2c_cu,70000,-1,-228,-0.228,3.224905580013158
70,ma2c_cu,71000,-1,-115,-0.115,2.80923032163616
71,ma2c_cu,72000,-1,-154,-0.154,2.7996935546591524
72,ma2c_cu,73000,-1,-454,-0.454,4.832792567450003
73,ma2c_cu,74000,-1,-71,-0.071,2.2956391266921723
74,ma2c_cu,75000,-1,-156,-0.156,2.7956509081070906
75,ma2c_cu,76000,-1,-6,-0.006,0.20967594044143453
76,ma2c_cu,77000,-1,-100,-0.1,2.2886677347312783
77,ma2c_cu,78000,-1,-56,-0.056,1.621993834760169
78,ma2c_cu,79000,-1,-146,-0.146,2.7997649901375645
79,ma2c_cu,80000,-1,-90,-0.09,2.2934471870963153
80,ma2c_cu,81000,-1,-31,-0.031,1.6334132973623061
81,ma2c_cu,82000,-1,-291,-0.291,3.9456709188679175
82,ma2c_cu,83000,-1,-167,-0.167,2.793762874690692
83,ma2c_cu,84000,-1,-153,-0.153,2.793132828921675
84,ma2c_cu,85000,-1,-46,-0.046,1.6241563964101486
85,ma2c_cu,86000,-1,-255,-0.255,3.586917200047974
86,ma2c_cu,87000,-1,-100,-0.1,2.8085583490467143
87,ma2c_cu,88000,-1,-92,-0.092,2.2898768525839985
88,ma2c_cu,89000,-1,-55,-0.055,1.6229525562997829
89,ma2c_cu,90000,-1,-207,-0.207,3.2230654662913687
90,ma2c_cu,91000,-1,-46,-0.046,1.623540575409189
91,ma2c_cu,92000,-1,-100,-0.1,2.2851695779525873
92,ma2c_cu,93000,-1,-22,-0.022,1.6308022565596365
93,ma2c_cu,94000,-1,-94,-0.094,2.310663108287316
94,ma2c_cu,95000,-1,3,0.003,0.2024623421775022
95,ma2c_cu,96000,-1,-53,-0.053,1.6267117138571296
