,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ma2c_cu,1000,-1,-3925,-3.925,13.906882288996337
1,ma2c_cu,2000,-1,-2763,-2.763,11.350807504314396
2,ma2c_cu,3000,-1,-3109,-3.109,12.381321375362162
3,ma2c_cu,4000,-1,-2954,-2.954,12.569800475743438
4,ma2c_cu,5000,-1,-2818,-2.818,12.053666496133035
5,ma2c_cu,6000,-1,-3572,-3.572,13.711776544270256
6,ma2c_cu,7000,-1,-3156,-3.156,12.370192561152798
7,ma2c_cu,8000,-1,-2790,-2.79,11.342217596219884
8,ma2c_cu,9000,-1,-1403,-1.403,8.158957715296728
9,ma2c_cu,10000,-1,-3329,-3.329,12.83404686760961
10,ma2c_cu,11000,-1,-1829,-1.829,9.59634091724549
11,ma2c_cu,12000,-1,-2334,-2.334,11.584491529627012
12,ma2c_cu,13000,-1,-3759,-3.759,14.046598129084494
13,ma2c_cu,14000,-1,-2655,-2.655,11.926691703905153
14,ma2c_cu,15000,-1,-3063,-3.063,13.478020292312962
15,ma2c_cu,16000,-1,-2219,-2.219,11.151369377793923
16,ma2c_cu,17000,-1,-770,-0.77,6.815797825640078
17,ma2c_cu,18000,-1,-605,-0.605,6.049212758698441
18,ma2c_cu,19000,-1,-1191,-1.191,8.133173980679375
19,ma2c_cu,20000,-1,-877,-0.877,7.34478529298168
20,ma2c_cu,21000,-1,-110,-0.11,3.9987373006988096
21,ma2c_cu,22000,-1,-769,-0.769,7.523140235300681
22,ma2c_cu,23000,-1,-511,-0.511,5.785834339142453
23,ma2c_cu,24000,-1,-192,-0.192,4.589894987905497
24,ma2c_cu,25000,-1,-297,-0.297,4.8757349189634995
25,ma2c_cu,26000,-1,-718,-0.718,7.3427839407134945
26,ma2c_cu,27000,-1,-312,-0.312,5.1618461813579835
27,ma2c_cu,28000,-1,-420,-0.42,5.797551207190842
28,ma2c_cu,29000,-1,-785,-0.785,8.009542745999925
29,ma2c_cu,30000,-1,-940,-0.94,7.466083310545096
30,ma2c_cu,31000,-1,-183,-0.183,4.269603143150427
31,ma2c_cu,32000,-1,-1242,-1.242,8.892774370240144
32,ma2c_cu,33000,-1,-679,-0.679,7.005138042893944
33,ma2c_cu,34000,-1,-642,-0.642,6.422603521937189
34,ma2c_cu,35000,-1,-290,-0.29,4.876668945089466
35,ma2c_cu,36000,-1,-778,-0.778,7.191989710782408
36,ma2c_cu,37000,-1,-691,-0.691,6.827409391562805
37,ma2c_cu,38000,-1,-208,-0.208,4.582001309471659
38,ma2c_cu,39000,-1,-169,-0.169,4.585023336908985
39,ma2c_cu,40000,-1,-965,-0.965,8.323927858889697
40,ma2c_cu,41000,-1,-578,-0.578,7.7243715601982785
41,ma2c_cu,42000,-1,-667,-0.667,7.199452131933373
42,ma2c_cu,43000,-1,-161,-0.161,4.285449684688878
43,ma2c_cu,44000,-1,-512,-0.512,7.211785909190595
44,ma2c_cu,45000,-1,-371,-0.371,5.391229822591502
45,ma2c_cu,46000,-1,-638,-0.638,6.44988030896698
46,ma2c_cu,47000,-1,-270,-0.27,5.360699581211393
47,ma2c_cu,48000,-1,-422,-0.422,5.8316306467402415
48,ma2c_cu,49000,-1,-274,-0.274,5.434604309423087
49,ma2c_cu,50000,-1,-611,-0.611,6.190935228218754
50,ma2c_cu,51000,-1,-886,-0.886,7.827579702564515
51,ma2c_cu,52000,-1,-1008,-1.008,8.12563449830227
52,ma2c_cu,53000,-1,-441,-0.441,5.824819224662685
53,ma2c_cu,54000,-1,-329,-0.329,5.103210656047817
54,ma2c_cu,55000,-1,-701,-0.701,6.824192186625463
55,ma2c_cu,56000,-1,-684,-0.684,6.839162521829703
56,ma2c_cu,57000,-1,-451,-0.451,5.827314904825378
57,ma2c_cu,58000,-1,-293,-0.293,5.0816484530120745
58,ma2c_cu,59000,-1,-137,-0.137,4.274135117190377
59,ma2c_cu,60000,-1,-81,-0.081,4.2965612994579745
60,ma2c_cu,61000,-1,-84,-0.084,4.3061518784176664
61,ma2c_cu,62000,-1,196,0.196,2.8424609056238577
62,ma2c_cu,63000,-1,100,0.1,3.2826818304550933
63,ma2c_cu,64000,-1,107,0.107,3.2807851194493067
64,ma2c_cu,65000,-1,21,0.021,3.9855437521121257
65,ma2c_cu,66000,-1,101,0.101,3.6505888566093003
66,ma2c_cu,67000,-1,-233,-0.233,6.214717290432446
67,ma2c_cu,68000,-1,233,0.233,2.857745789954033
68,ma2c_cu,69000,-1,147,0.147,3.6640675485039846
69,ma2c_cu,70000,-1,111,0.111,4.584395161850689
70,ma2c_cu,71000,-1,-74,-0.074,4.590917555347732
71,ma2c_cu,72000,-1,168,0.168,3.661936099934023
72,ma2c_cu,73000,-1,55,0.055,4.27316919861594
73,ma2c_cu,74000,-1,227,0.227,2.8794914481553855
74,ma2c_cu,75000,-1,-112,-0.112,5.3558805065087105
75,ma2c_cu,76000,-1,304,0.304,0.582738363247178
76,ma2c_cu,77000,-1,274,0.274,2.3594329827312324
77,ma2c_cu,78000,-1,99,0.099,3.2734078572643526
78,ma2c_cu,79000,-1,364,0.364,1.7531411808522441
79,ma2c_cu,80000,-1,299,0.299,2.389058182631809
80,ma2c_cu,81000,-1,364,0.364,0.622498192768461
81,ma2c_cu,82000,-1,417,0.417,0.6565904355075544
82,ma2c_cu,83000,-1,417,0.417,0.648930658853471
83,ma2c_cu,84000,-1,359,0.359,1.7418722685662111
84,ma2c_cu,85000,-1,355,0.355,1.7369441556941316
85,ma2c_cu,86000,-1,316,0.316,2.3660397291677078
86,ma2c_cu,87000,-1,283,0.283,2.866864314891795
87,ma2c_cu,88000,-1,269,0.269,2.3745818579278333
88,ma2c_cu,89000,-1,336,0.336,3.599319935765644
89,ma2c_cu,90000,-1,272,0.272,2.3689693961720986
90,ma2c_cu,91000,-1,281,0.281,1.721638463789654
91,ma2c_cu,92000,-1,375,0.375,1.7505356323137213
92,ma2c_cu,93000,-1,316,0.316,1.7326696165166628
93,ma2c_cu,94000,-1,377,0.377,1.7512484118479592
94,ma2c_cu,95000,-1,25,0.025,3.9749685533347314
95,ma2c_cu,96000,-1,381,0.381,1.7440868671026681
96,ma2c_cu,97000,-1,313,0.313,1.7404111583186312
97,ma2c_cu,98000,-1,414,0.414,0.6360848999937037
98,ma2c_cu,99000,-1,333,0.333,1.728036747294455
99,ma2c_cu,100000,-1,365,0.365,0.6064445564105593
