,episode,step,action,reward
0,1,1,"2,6,3,0,4",0
1,1,2,"0,4,5,0,3",1
2,1,3,"0,6,4,1,2",1
3,1,4,"3,3,3,2,4",1
4,1,5,"6,3,0,0,0",0
5,1,6,"4,3,4,6,2",0
6,1,7,"1,3,0,5,2",0
7,1,8,"3,3,0,1,4",0
8,1,9,"0,3,4,0,2",0
9,1,10,"3,3,2,3,4",0
10,1,11,"1,0,4,1,4",0
11,1,12,"2,3,3,2,4",0
12,1,13,"0,3,3,0,4",0
13,1,14,"3,3,2,0,2",1
14,1,15,"3,1,0,1,2",0
15,1,16,"1,3,0,0,4",0
16,1,17,"2,3,3,5,0",0
17,1,18,"1,4,5,1,4",0
18,1,19,"3,5,4,2,4",0
19,1,20,"0,0,0,6,4",0
20,1,21,"1,3,4,0,2",0
21,1,22,"0,6,4,1,4",0
22,1,23,"1,3,0,0,2",0
23,1,24,"1,3,2,0,4",1
24,1,25,"4,6,3,1,2",0
25,1,26,"0,3,3,4,4",0
26,1,27,"1,1,3,1,2",0
27,1,28,"3,3,0,6,4",0
28,1,29,"4,0,3,5,0",0
29,1,30,"0,3,3,0,2",0
30,1,31,"1,2,4,2,2",0
31,1,32,"4,3,0,0,4",0
32,1,33,"3,3,7,1,4",-1
33,1,34,"6,3,3,2,0",1
34,1,35,"3,6,3,2,4",1
35,1,36,"4,4,4,0,4",0
36,1,37,"0,2,0,0,2",0
37,1,38,"6,3,3,0,4",1
38,1,39,"3,6,4,2,2",1
39,1,40,"1,3,4,3,4",0
40,1,41,"6,3,0,4,4",0
41,1,42,"1,3,3,6,2",0
42,1,43,"4,6,3,6,4",0
43,1,44,"0,6,3,1,2",1
44,1,45,"0,5,0,0,4",1
45,1,46,"1,3,5,0,4",0
46,1,47,"0,3,0,4,2",1
47,1,48,"3,6,0,0,0",0
48,1,49,"0,6,4,0,4",1
49,1,50,"0,3,3,1,2",1
50,1,51,"3,6,3,1,2",0
51,1,52,"4,3,4,0,0",0
52,1,53,"4,6,1,0,0",0
53,1,54,"4,3,4,0,0",0
54,1,55,"1,3,4,6,4",0
55,1,56,"6,6,3,0,0",0
56,1,57,"6,6,3,4,2",0
57,1,58,"6,3,4,1,0",0
58,1,59,"6,6,5,1,4",1
59,1,60,"0,5,0,6,2",0
60,1,61,"1,3,4,6,4",1
61,1,62,"1,6,3,3,4",0
62,1,63,"3,6,3,0,4",1
