,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ma2c_ic3,1000,-1,-4839,-4.839,15.973073561465869
1,ma2c_ic3,2000,-1,-2178,-2.178,10.548948573199132
2,ma2c_ic3,3000,-1,-3798,-3.798,13.534001477759638
3,ma2c_ic3,4000,-1,-2767,-2.767,11.253386645805785
4,ma2c_ic3,5000,-1,-5280,-5.28,16.59920480023064
5,ma2c_ic3,6000,-1,-2406,-2.406,10.617022369760742
6,ma2c_ic3,7000,-1,-2384,-2.384,10.729051402617104
7,ma2c_ic3,8000,-1,-1643,-1.643,8.60415893623543
8,ma2c_ic3,9000,-1,-1998,-1.998,10.164939547287037
9,ma2c_ic3,10000,-1,-2201,-2.201,10.733806361212224
10,ma2c_ic3,11000,-1,-1391,-1.391,8.570071119891598
11,ma2c_ic3,12000,-1,-1521,-1.521,8.98596455590606
12,ma2c_ic3,13000,-1,-645,-0.645,5.332257964502467
13,ma2c_ic3,14000,-1,-894,-0.894,7.002768309747224
14,ma2c_ic3,15000,-1,-1031,-1.031,7.652845157194806
15,ma2c_ic3,16000,-1,-827,-0.827,6.2131369693577465
16,ma2c_ic3,17000,-1,-628,-0.628,5.762778496524052
17,ma2c_ic3,18000,-1,-441,-0.441,4.548903054583599
18,ma2c_ic3,19000,-1,-590,-0.59,5.322208188336868
19,ma2c_ic3,20000,-1,-477,-0.477,4.821148307198191
20,ma2c_ic3,21000,-1,-326,-0.326,3.942552979986446
21,ma2c_ic3,22000,-1,-445,-0.445,4.546314441390961
22,ma2c_ic3,23000,-1,-228,-0.228,3.2434574145500985
23,ma2c_ic3,24000,-1,-386,-0.386,4.806350382566797
24,ma2c_ic3,25000,-1,-215,-0.215,3.2275029047237123
25,ma2c_ic3,26000,-1,-267,-0.267,3.605233834302568
26,ma2c_ic3,27000,-1,-330,-0.33,3.9442489779424434
27,ma2c_ic3,28000,-1,-798,-0.798,6.214434487545911
28,ma2c_ic3,29000,-1,-201,-0.201,3.2333572335886434
29,ma2c_ic3,30000,-1,-291,-0.291,4.229458475975382
30,ma2c_ic3,31000,-1,-636,-0.636,5.557112919493359
31,ma2c_ic3,32000,-1,-219,-0.219,3.226304232399667
32,ma2c_ic3,33000,-1,-538,-0.538,5.074697626460123
33,ma2c_ic3,34000,-1,-161,-0.161,2.796619208973577
34,ma2c_ic3,35000,-1,-319,-0.319,3.9432523378551356
35,ma2c_ic3,36000,-1,-304,-0.304,4.546821307243115
36,ma2c_ic3,37000,-1,-171,-0.171,2.7985280059345494
37,ma2c_ic3,38000,-1,-301,-0.301,3.9598483556823227
38,ma2c_ic3,39000,-1,-235,-0.235,3.223937809573876
39,ma2c_ic3,40000,-1,-173,-0.173,2.795902537643255
40,ma2c_ic3,41000,-1,-320,-0.32,4.531622226090785
41,ma2c_ic3,42000,-1,-65,-0.065,1.6244306694962398
42,ma2c_ic3,43000,-1,-208,-0.208,3.925905755363977
43,ma2c_ic3,44000,-1,-261,-0.261,3.6065050949638193
44,ma2c_ic3,45000,-1,-257,-0.257,3.6211808847391205
45,ma2c_ic3,46000,-1,-202,-0.202,3.2142177897584987
46,ma2c_ic3,47000,-1,-170,-0.17,2.7955500353239957
47,ma2c_ic3,48000,-1,-350,-0.35,4.256465670013091
48,ma2c_ic3,49000,-1,-162,-0.162,3.5787925338024285
49,ma2c_ic3,50000,-1,-307,-0.307,4.531749220775572
50,ma2c_ic3,51000,-1,-54,-0.054,1.6214450345293852
51,ma2c_ic3,52000,-1,-122,-0.122,3.197986241371279
52,ma2c_ic3,53000,-1,-257,-0.257,3.60040983778236
53,ma2c_ic3,54000,-1,-124,-0.124,2.8018965005867007
54,ma2c_ic3,55000,-1,-157,-0.157,2.7979190481498923
55,ma2c_ic3,56000,-1,-94,-0.094,2.290668897942258
56,ma2c_ic3,57000,-1,-257,-0.257,3.602353536231557
57,ma2c_ic3,58000,-1,-188,-0.188,3.927423582961226
58,ma2c_ic3,59000,-1,-193,-0.193,3.230750841522757
59,ma2c_ic3,60000,-1,-30,-0.03,1.626376340211576
60,ma2c_ic3,61000,-1,-133,-0.133,2.8208706102903753
