,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ma2c_ic3,1000,-1,-2548,-2.548,11.205610023555165
1,ma2c_ic3,2000,-1,-4075,-4.075,15.45371719037203
2,ma2c_ic3,3000,-1,-3830,-3.83,14.19686937321042
3,ma2c_ic3,4000,-1,-2859,-2.859,11.63731579875703
4,ma2c_ic3,5000,-1,-3310,-3.31,13.413198723645303
5,ma2c_ic3,6000,-1,-1413,-1.413,8.01838082158736
6,ma2c_ic3,7000,-1,-1823,-1.823,9.250387613500312
7,ma2c_ic3,8000,-1,-3045,-3.045,12.981871013070498
8,ma2c_ic3,9000,-1,-1608,-1.608,8.600833447986306
9,ma2c_ic3,10000,-1,-1673,-1.673,9.145822598323237
10,ma2c_ic3,11000,-1,-1965,-1.965,10.005387298850554
11,ma2c_ic3,12000,-1,-1560,-1.56,9.436651948652127
12,ma2c_ic3,13000,-1,-682,-0.682,6.257066085634704
13,ma2c_ic3,14000,-1,-1381,-1.381,8.746647300537504
14,ma2c_ic3,15000,-1,-1067,-1.067,9.177718180462943
15,ma2c_ic3,16000,-1,-954,-0.954,7.693106264702185
16,ma2c_ic3,17000,-1,-977,-0.977,7.6569230765366845
17,ma2c_ic3,18000,-1,-526,-0.526,5.840147600874484
18,ma2c_ic3,19000,-1,-583,-0.583,6.63936073729994
19,ma2c_ic3,20000,-1,-677,-0.677,6.598535519340636
20,ma2c_ic3,21000,-1,-747,-0.747,6.8100654181879925
21,ma2c_ic3,22000,-1,-632,-0.632,7.011460332912111
22,ma2c_ic3,23000,-1,-351,-0.351,6.041671871262126
23,ma2c_ic3,24000,-1,-352,-0.352,5.6176592990319385
24,ma2c_ic3,25000,-1,-878,-0.878,7.821580147259248
25,ma2c_ic3,26000,-1,-38,-0.038,4.004566892936114
26,ma2c_ic3,27000,-1,-975,-0.975,7.815265510524899
27,ma2c_ic3,28000,-1,-251,-0.251,5.113511415847236
28,ma2c_ic3,29000,-1,-379,-0.379,6.0122673759572605
29,ma2c_ic3,30000,-1,-550,-0.55,6.646314768350954
30,ma2c_ic3,31000,-1,-165,-0.165,4.598888452658968
31,ma2c_ic3,32000,-1,-339,-0.339,5.0872467013110345
32,ma2c_ic3,33000,-1,-220,-0.22,4.85485324186015
33,ma2c_ic3,34000,-1,-299,-0.299,5.374532444780663
34,ma2c_ic3,35000,-1,-489,-0.489,6.421516876875745
35,ma2c_ic3,36000,-1,-449,-0.449,5.607084714894186
36,ma2c_ic3,37000,-1,-327,-0.327,5.621394044185126
37,ma2c_ic3,38000,-1,-200,-0.2,5.074839898952479
38,ma2c_ic3,39000,-1,-683,-0.683,7.0195805430239195
39,ma2c_ic3,40000,-1,144,0.144,2.8553920921652773
40,ma2c_ic3,41000,-1,-75,-0.075,4.310147909294992
41,ma2c_ic3,42000,-1,-32,-0.032,4.3063878134696605
42,ma2c_ic3,43000,-1,-12,-0.012,4.599332125428648
43,ma2c_ic3,44000,-1,-220,-0.22,5.366339534543077
44,ma2c_ic3,45000,-1,-284,-0.284,5.610645595651182
45,ma2c_ic3,46000,-1,152,0.152,2.864768053438183
46,ma2c_ic3,47000,-1,-16,-0.016,4.28809328256744
47,ma2c_ic3,48000,-1,-95,-0.095,4.3097534732279055
48,ma2c_ic3,49000,-1,24,0.024,4.031553546711243
49,ma2c_ic3,50000,-1,10,0.01,4.299523229382534
50,ma2c_ic3,51000,-1,28,0.028,3.6443402695138105
51,ma2c_ic3,52000,-1,42,0.042,4.012260709375701
52,ma2c_ic3,53000,-1,-225,-0.225,5.121364564254335
53,ma2c_ic3,54000,-1,82,0.082,3.690430327211177
54,ma2c_ic3,55000,-1,-61,-0.061,4.588167281170119
55,ma2c_ic3,56000,-1,-381,-0.381,6.65325777345204
56,ma2c_ic3,57000,-1,127,0.127,3.301040896444636
57,ma2c_ic3,58000,-1,9,0.009,4.320523000748868
58,ma2c_ic3,59000,-1,80,0.08,4.6285634920566885
59,ma2c_ic3,60000,-1,57,0.057,3.9761477588238594
60,ma2c_ic3,61000,-1,-107,-0.107,5.083655279422474
61,ma2c_ic3,62000,-1,211,0.211,2.8626000419199316
62,ma2c_ic3,63000,-1,179,0.179,2.358592588812235
63,ma2c_ic3,64000,-1,370,0.37,1.749599954275262
64,ma2c_ic3,65000,-1,331,0.331,1.7519814496734836
