,episode,step,action,reward
0,1,1,"1,5,3,0,3",1
1,1,2,"1,1,6,0,2",0
2,1,3,"4,1,3,1,1",0
3,1,4,"4,0,0,1,0",1
4,1,5,"1,1,0,4,0",0
5,1,6,"4,1,3,1,4",1
6,1,7,"1,1,6,6,1",0
7,1,8,"5,1,3,1,1",1
8,1,9,"1,1,0,1,2",0
9,1,10,"1,1,0,1,0",2
10,1,11,"6,1,3,6,1",1
11,1,12,"4,1,3,1,1",0
12,1,13,"1,5,1,1,2",1
13,1,14,"5,1,3,2,1",0
14,1,15,"4,0,1,3,0",0
15,1,16,"1,1,3,6,2",1
16,1,17,"1,1,3,6,0",0
17,1,18,"1,1,0,2,0",0
18,1,19,"1,0,5,1,1",0
19,1,20,"2,1,0,1,0",1
20,1,21,"1,6,1,1,1",0
21,1,22,"1,1,1,3,2",0
22,1,23,"4,2,0,1,0",0
23,1,24,"1,1,3,5,0",0
24,1,25,"4,1,3,1,0",1
25,1,26,"2,2,0,6,5",1
26,1,27,"1,6,0,1,2",1
27,1,28,"1,1,3,1,4",0
28,1,29,"2,4,0,1,0",2
29,1,30,"0,1,3,1,2",1
30,1,31,"1,1,0,3,2",0
31,1,32,"4,1,0,1,0",1
32,1,33,"2,0,0,4,1",0
33,1,34,"1,5,3,1,5",1
34,1,35,"5,4,3,1,1",0
35,1,36,"5,1,3,1,0",0
36,1,37,"1,1,3,2,0",2
37,1,38,"0,1,0,1,5",1
38,1,39,"2,1,3,1,2",0
39,1,40,"4,1,3,1,2",1
40,1,41,"1,6,3,1,2",0
41,1,42,"1,6,0,6,0",1
42,1,43,"4,1,3,1,0",0
43,1,44,"1,1,3,1,2",1
44,1,45,"1,1,3,6,2",2
45,1,46,"2,1,3,2,0",1
46,1,47,"1,0,0,3,1",1
47,1,48,"1,0,0,1,1",0
48,1,49,"5,1,3,1,1",0
49,1,50,"1,1,3,3,0",0
50,1,51,"1,5,3,1,4",1
51,1,52,"2,5,0,1,4",0
52,1,53,"2,5,3,3,3",1
53,1,54,"1,1,3,1,1",0
54,1,55,"4,0,3,1,5",0
55,1,56,"2,0,0,0,2",0
56,1,57,"1,1,3,1,0",0
57,1,58,"1,1,0,1,4",0
58,1,59,"1,0,6,2,0",0
59,1,60,"4,5,6,3,2",0
60,1,61,"1,5,3,1,0",0
61,1,62,"1,1,3,1,2",0
62,1,63,"2,5,0,1,0",0
63,1,64,"1,6,3,3,1",0
64,1,65,"1,1,3,6,5",1
65,1,66,"1,5,3,2,5",0
66,1,67,"1,1,0,6,0",0
67,1,68,"4,6,3,2,2",0
68,1,69,"2,2,3,2,2",0
69,1,70,"5,0,3,1,0",1
70,1,71,"1,1,0,1,2",1
71,1,72,"1,1,3,1,1",1
72,1,73,"4,0,3,1,5",0
73,1,74,"2,1,6,4,1",0
74,1,75,"4,1,3,1,2",1
75,1,76,"1,1,3,2,2",1
76,1,77,"2,6,3,1,0",1
77,1,78,"5,4,3,1,2",0
78,1,79,"2,1,0,1,0",0
79,1,80,"2,1,0,1,2",0
80,1,81,"1,6,0,6,1",0
81,1,82,"4,0,0,1,4",0
82,1,83,"1,2,6,0,0",1
83,1,84,"5,0,0,1,4",1
84,1,85,"5,6,3,1,1",0
85,1,86,"4,0,3,1,2",0
86,1,87,"4,1,3,6,2",0
87,1,88,"2,1,3,1,0",1
88,1,89,"1,4,0,1,1",0
89,1,90,"3,0,3,2,1",0
90,1,91,"1,2,3,1,0",1
91,1,92,"1,6,3,1,2",0
92,1,93,"1,5,3,1,0",0
93,1,94,"1,5,0,0,0",0
94,1,95,"1,6,1,1,0",0
95,1,96,"1,1,0,2,2",0
96,1,97,"2,1,3,2,0",1
97,1,98,"4,6,3,1,2",0
98,1,99,"0,0,0,1,0",0
99,1,100,"5,1,6,1,4",0
100,1,101,"3,2,3,1,1",0
101,1,102,"3,5,0,1,2",1
102,1,103,"1,1,0,1,2",1
103,1,104,"1,1,0,1,1",1
104,1,105,"1,1,3,1,1",1
105,1,106,"1,0,0,1,0",0
