,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ma2c_ic3,1000,-1,-4805,-4.805,15.005231587683012
1,ma2c_ic3,2000,-1,-7364,-7.364,19.360720647744493
2,ma2c_ic3,3000,-1,-8669,-8.669,22.024700656308593
3,ma2c_ic3,4000,-1,-3670,-3.67,13.408098299162338
4,ma2c_ic3,5000,-1,-3476,-3.476,14.05465844480043
5,ma2c_ic3,6000,-1,-4172,-4.172,13.35793457088333
6,ma2c_ic3,7000,-1,-7743,-7.743,19.507612642248155
7,ma2c_ic3,8000,-1,-7149,-7.149,19.166554176481487
8,ma2c_ic3,9000,-1,-3104,-3.104,11.952957123657727
9,ma2c_ic3,10000,-1,-3997,-3.997,14.778531422303097
10,ma2c_ic3,11000,-1,-4072,-4.072,14.041966244084195
11,ma2c_ic3,12000,-1,-4523,-4.523,16.743699441879624
12,ma2c_ic3,13000,-1,-2807,-2.807,12.107508042532947
13,ma2c_ic3,14000,-1,-2198,-2.198,10.596546418527124
14,ma2c_ic3,15000,-1,-1228,-1.228,7.475427479415474
15,ma2c_ic3,16000,-1,-1551,-1.551,8.558936791447874
16,ma2c_ic3,17000,-1,-975,-0.975,6.215655637179395
17,ma2c_ic3,18000,-1,-1231,-1.231,7.817009594467696
18,ma2c_ic3,19000,-1,-866,-0.866,6.58847812472653
19,ma2c_ic3,20000,-1,-1392,-1.392,9.687328630742327
20,ma2c_ic3,21000,-1,-910,-0.91,6.80807608653135
21,ma2c_ic3,22000,-1,-720,-0.72,5.796343675111061
22,ma2c_ic3,23000,-1,-517,-0.517,5.313728540300115
23,ma2c_ic3,24000,-1,-637,-0.637,5.554208404444327
24,ma2c_ic3,25000,-1,-998,-0.998,7.9743335771711985
25,ma2c_ic3,26000,-1,-504,-0.504,4.819749371077297
26,ma2c_ic3,27000,-1,-441,-0.441,4.558126698546235
27,ma2c_ic3,28000,-1,-693,-0.693,6.586102868920286
28,ma2c_ic3,29000,-1,-480,-0.48,4.819294554185292
29,ma2c_ic3,30000,-1,-470,-0.47,5.3144237693281475
30,ma2c_ic3,31000,-1,-374,-0.374,4.829298499782344
31,ma2c_ic3,32000,-1,-162,-0.162,2.798170116343895
32,ma2c_ic3,33000,-1,-379,-0.379,4.259736963710318
33,ma2c_ic3,34000,-1,-302,-0.302,3.6098193860635184
34,ma2c_ic3,35000,-1,-492,-0.492,4.834866699299993
35,ma2c_ic3,36000,-1,-313,-0.313,3.9485479609598255
36,ma2c_ic3,37000,-1,-233,-0.233,3.2318278110072645
37,ma2c_ic3,38000,-1,-387,-0.387,4.252673394466121
38,ma2c_ic3,39000,-1,-225,-0.225,3.231775827621711
39,ma2c_ic3,40000,-1,-213,-0.213,3.230113155912653
40,ma2c_ic3,41000,-1,-268,-0.268,3.944385376709533
41,ma2c_ic3,42000,-1,-356,-0.356,4.262541964602812
42,ma2c_ic3,43000,-1,-338,-0.338,4.238838991988254
43,ma2c_ic3,44000,-1,-91,-0.091,2.292317386401804
44,ma2c_ic3,45000,-1,-329,-0.329,4.565168014432765
45,ma2c_ic3,46000,-1,-199,-0.199,3.244595352274301
46,ma2c_ic3,47000,-1,-593,-0.593,6.002612014781566
