,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ma2c_ic3,1000,-1,-2115,-2.115,9.693594534536711
1,ma2c_ic3,2000,-1,-2528,-2.528,10.705849615980977
2,ma2c_ic3,3000,-1,-2616,-2.616,11.284083657967091
3,ma2c_ic3,4000,-1,-2322,-2.322,10.751200677133696
4,ma2c_ic3,5000,-1,-3806,-3.806,14.243748242650177
5,ma2c_ic3,6000,-1,-2610,-2.61,12.11420240874322
6,ma2c_ic3,7000,-1,-4267,-4.267,15.397717720493514
7,ma2c_ic3,8000,-1,-2678,-2.678,11.698560424257337
8,ma2c_ic3,9000,-1,-1172,-1.172,7.514014639325638
9,ma2c_ic3,10000,-1,-2646,-2.646,12.009358184349402
10,ma2c_ic3,11000,-1,-1390,-1.39,10.145338831207166
11,ma2c_ic3,12000,-1,-1275,-1.275,8.305863892455738
12,ma2c_ic3,13000,-1,-2016,-2.016,10.66272685573442
13,ma2c_ic3,14000,-1,-2070,-2.07,10.340652784036411
14,ma2c_ic3,15000,-1,-1034,-1.034,8.905551302418058
15,ma2c_ic3,16000,-1,-653,-0.653,6.420637896657934
16,ma2c_ic3,17000,-1,-589,-0.589,6.6661892412382056
17,ma2c_ic3,18000,-1,-456,-0.456,6.025119417903681
18,ma2c_ic3,19000,-1,-156,-0.156,3.97865102767257
19,ma2c_ic3,20000,-1,-645,-0.645,6.626535671072781
20,ma2c_ic3,21000,-1,-1074,-1.074,8.007029661491208
21,ma2c_ic3,22000,-1,-446,-0.446,6.027858989724295
22,ma2c_ic3,23000,-1,-276,-0.276,5.621727848268715
23,ma2c_ic3,24000,-1,-568,-0.568,7.010946869004214
24,ma2c_ic3,25000,-1,-139,-0.139,5.093297458425141
25,ma2c_ic3,26000,-1,-430,-0.43,6.090574685528453
26,ma2c_ic3,27000,-1,-148,-0.148,4.303498112001445
27,ma2c_ic3,28000,-1,-902,-0.902,7.5290368573941775
28,ma2c_ic3,29000,-1,-575,-0.575,6.9831493611407165
29,ma2c_ic3,30000,-1,-438,-0.438,6.046995617660062
30,ma2c_ic3,31000,-1,-435,-0.435,6.453973582220492
31,ma2c_ic3,32000,-1,-658,-0.658,6.67360742027878
32,ma2c_ic3,33000,-1,-546,-0.546,6.814828244350696
33,ma2c_ic3,34000,-1,-380,-0.38,5.538916861625565
34,ma2c_ic3,35000,-1,-204,-0.204,4.609596945504021
35,ma2c_ic3,36000,-1,-748,-0.748,7.369701215110419
36,ma2c_ic3,37000,-1,-630,-0.63,6.803903291493788
37,ma2c_ic3,38000,-1,-37,-0.037,4.013182153852477
38,ma2c_ic3,39000,-1,-297,-0.297,5.135444576665199
39,ma2c_ic3,40000,-1,-59,-0.059,4.627042143745829
40,ma2c_ic3,41000,-1,-468,-0.468,6.43529144639153
41,ma2c_ic3,42000,-1,-599,-0.599,6.42512248910478
42,ma2c_ic3,43000,-1,-67,-0.067,3.6439691272018204
43,ma2c_ic3,44000,-1,-93,-0.093,4.325083929821478
44,ma2c_ic3,45000,-1,-510,-0.51,6.039693700842783
45,ma2c_ic3,46000,-1,-144,-0.144,4.895432973701101
