,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ma2c_nc,1000,-1,-3645,-3.645,13.474382175075782
1,ma2c_nc,2000,-1,-3315,-3.315,12.740713284584974
2,ma2c_nc,3000,-1,-4317,-4.317,15.15118843523504
3,ma2c_nc,4000,-1,-3217,-3.217,12.851611221944117
4,ma2c_nc,5000,-1,-2969,-2.969,12.791326709923407
5,ma2c_nc,6000,-1,-3848,-3.848,14.794556296151635
6,ma2c_nc,7000,-1,-1776,-1.776,8.86046409619722
7,ma2c_nc,8000,-1,-1532,-1.532,8.857707152531068
8,ma2c_nc,9000,-1,-1203,-1.203,7.662100952088794
9,ma2c_nc,10000,-1,-1946,-1.946,10.510712820736753
10,ma2c_nc,11000,-1,-2484,-2.484,11.165471060371791
11,ma2c_nc,12000,-1,-1500,-1.5,9.127431182978045
12,ma2c_nc,13000,-1,-1870,-1.87,9.892578025974828
13,ma2c_nc,14000,-1,-1363,-1.363,8.838282129463849
14,ma2c_nc,15000,-1,-1064,-1.064,7.3172333569457795
15,ma2c_nc,16000,-1,-873,-0.873,6.220520155099574
16,ma2c_nc,17000,-1,-1005,-1.005,7.142336802475783
17,ma2c_nc,18000,-1,-1064,-1.064,7.491188423741589
18,ma2c_nc,19000,-1,-466,-0.466,4.5539920948548
19,ma2c_nc,20000,-1,-600,-0.6,5.32935268114243
20,ma2c_nc,21000,-1,-338,-0.338,4.2724414565913005
21,ma2c_nc,22000,-1,-442,-0.442,4.547816618994219
22,ma2c_nc,23000,-1,-521,-0.521,4.818045143001464
23,ma2c_nc,24000,-1,-288,-0.288,3.6181564366400756
24,ma2c_nc,25000,-1,-646,-0.646,5.564951392420243
25,ma2c_nc,26000,-1,-603,-0.603,5.789420610043806
26,ma2c_nc,27000,-1,-296,-0.296,4.553282771803219
27,ma2c_nc,28000,-1,-93,-0.093,2.2944173552342204
28,ma2c_nc,29000,-1,-497,-0.497,5.084091954321835
29,ma2c_nc,30000,-1,-348,-0.348,4.564525824223146
30,ma2c_nc,31000,-1,-723,-0.723,6.962490287246366
31,ma2c_nc,32000,-1,-314,-0.314,4.280350920193341
32,ma2c_nc,33000,-1,-201,-0.201,3.2153691856457174
33,ma2c_nc,34000,-1,-409,-0.409,5.069094495075032
34,ma2c_nc,35000,-1,-302,-0.302,3.9492779086815344
35,ma2c_nc,36000,-1,-216,-0.216,3.9247094159950247
36,ma2c_nc,37000,-1,-297,-0.297,3.950543127216813
37,ma2c_nc,38000,-1,-543,-0.543,6.196140008101818
38,ma2c_nc,39000,-1,-265,-0.265,3.605658747025292
39,ma2c_nc,40000,-1,-493,-0.493,5.984977109396494
40,ma2c_nc,41000,-1,-295,-0.295,3.9479076736924825
41,ma2c_nc,42000,-1,-67,-0.067,2.3035865514453757
42,ma2c_nc,43000,-1,-492,-0.492,5.095678168801481
43,ma2c_nc,44000,-1,-522,-0.522,5.079519268592256
44,ma2c_nc,45000,-1,-298,-0.298,4.270268843995656
45,ma2c_nc,46000,-1,-386,-0.386,4.555107463057264
46,ma2c_nc,47000,-1,-289,-0.289,4.559328788319615
47,ma2c_nc,48000,-1,-103,-0.103,2.2870048097894324
48,ma2c_nc,49000,-1,-493,-0.493,5.081333584798386
49,ma2c_nc,50000,-1,-87,-0.087,2.2898539254721024
50,ma2c_nc,51000,-1,-110,-0.11,2.288645887855961
51,ma2c_nc,52000,-1,8,0.008,0.2897171033957091
52,ma2c_nc,53000,-1,-377,-0.377,5.095966149809081
53,ma2c_nc,54000,-1,-478,-0.478,4.830270799862054
54,ma2c_nc,55000,-1,-261,-0.261,3.599844302188637
55,ma2c_nc,56000,-1,-170,-0.17,3.232816109833654
56,ma2c_nc,57000,-1,-226,-0.226,4.243927897596754
57,ma2c_nc,58000,-1,-241,-0.241,3.620347911458235
58,ma2c_nc,59000,-1,-304,-0.304,3.9422815728965883
59,ma2c_nc,60000,-1,-63,-0.063,2.2928216241129618
60,ma2c_nc,61000,-1,-181,-0.181,3.2283492685891346
61,ma2c_nc,62000,-1,15,0.015,0.22533308678487496
62,ma2c_nc,63000,-1,-34,-0.034,1.6318222942465268
63,ma2c_nc,64000,-1,-204,-0.204,3.224032257903137
64,ma2c_nc,65000,-1,-154,-0.154,2.7946885336294636
65,ma2c_nc,66000,-1,-41,-0.041,1.6221340881690398
66,ma2c_nc,67000,-1,-47,-0.047,2.302778973327663
67,ma2c_nc,68000,-1,-204,-0.204,3.938830283218611
68,ma2c_nc,69000,-1,-130,-0.13,2.80269513147613
69,ma2c_nc,70000,-1,-24,-0.024,1.6381159910091836
70,ma2c_nc,71000,-1,-192,-0.192,3.2123412023009017
71,ma2c_nc,72000,-1,-3,-0.003,1.6416427747838438
72,ma2c_nc,73000,-1,-292,-0.292,3.9469907524593975
73,ma2c_nc,74000,-1,-49,-0.049,1.6268371153867867
74,ma2c_nc,75000,-1,-90,-0.09,2.292574971511292
75,ma2c_nc,76000,-1,-48,-0.048,1.6271742377508316
76,ma2c_nc,77000,-1,-310,-0.31,3.945871259937405
77,ma2c_nc,78000,-1,-207,-0.207,3.221824172731963
78,ma2c_nc,79000,-1,-175,-0.175,3.230537880910856
79,ma2c_nc,80000,-1,-247,-0.247,3.6030530109894308
80,ma2c_nc,81000,-1,-10,-0.01,0.16703293088490065
81,ma2c_nc,82000,-1,-82,-0.082,2.2911298522781283
82,ma2c_nc,83000,-1,-150,-0.15,3.5823874720638464
83,ma2c_nc,84000,-1,-107,-0.107,2.285946412320289
84,ma2c_nc,85000,-1,-249,-0.249,3.6020825920569886
85,ma2c_nc,86000,-1,-145,-0.145,2.793559557267394
86,ma2c_nc,87000,-1,2,0.002,0.18438004230393262
87,ma2c_nc,88000,-1,-49,-0.049,1.6194440404039903
88,ma2c_nc,89000,-1,-148,-0.148,2.795012701223378
89,ma2c_nc,90000,-1,66,0.066,0.30926364157462805
90,ma2c_nc,91000,-1,-422,-0.422,5.998326099838188
91,ma2c_nc,92000,-1,-100,-0.1,2.8131832503411514
92,ma2c_nc,93000,-1,-263,-0.263,3.9478894361417973
93,ma2c_nc,94000,-1,-264,-0.264,3.6030964461140917
94,ma2c_nc,95000,-1,-324,-0.324,5.082423044178831
95,ma2c_nc,96000,-1,-875,-0.875,7.499824997958285
96,ma2c_nc,97000,-1,-100,-0.1,3.2332646040805266
97,ma2c_nc,98000,-1,-73,-0.073,1.627166555703503
98,ma2c_nc,99000,-1,-176,-0.176,3.237440964712716
99,ma2c_nc,100000,-1,-45,-0.045,1.6287955672827694
