,agent,step,test_id,collective_reward,avg_reward,std_reward
0,ma2c_nc,1000,-1,-5813,-5.813,16.982462453955257
1,ma2c_nc,2000,-1,-3834,-3.834,13.52170270343199
2,ma2c_nc,3000,-1,-4419,-4.419,14.805925806919337
3,ma2c_nc,4000,-1,-3526,-3.526,12.839911370410626
4,ma2c_nc,5000,-1,-4854,-4.854,15.27745672551554
5,ma2c_nc,6000,-1,-1742,-1.742,9.442109721878898
6,ma2c_nc,7000,-1,-2583,-2.583,12.318324196090963
7,ma2c_nc,8000,-1,-2349,-2.349,11.016405902108
8,ma2c_nc,9000,-1,-2763,-2.763,12.108461132613012
9,ma2c_nc,10000,-1,-1572,-1.572,9.582004800666718
10,ma2c_nc,11000,-1,-1718,-1.718,9.787567419946594
11,ma2c_nc,12000,-1,-1330,-1.33,8.899612351108335
12,ma2c_nc,13000,-1,-2614,-2.614,13.631544446613525
13,ma2c_nc,14000,-1,-1577,-1.577,10.556612666949565
14,ma2c_nc,15000,-1,-759,-0.759,7.3774601998248714
15,ma2c_nc,16000,-1,-621,-0.621,6.788767119293459
16,ma2c_nc,17000,-1,-866,-0.866,7.338940250472135
17,ma2c_nc,18000,-1,-458,-0.458,6.417338700738805
18,ma2c_nc,19000,-1,-606,-0.606,6.98045585903958
19,ma2c_nc,20000,-1,-938,-0.938,9.211848674397555
20,ma2c_nc,21000,-1,-819,-0.819,7.854440718472575
21,ma2c_nc,22000,-1,-338,-0.338,5.562531438113406
22,ma2c_nc,23000,-1,-443,-0.443,6.005726517250017
23,ma2c_nc,24000,-1,-287,-0.287,6.423443858243022
24,ma2c_nc,25000,-1,-246,-0.246,5.828334582022552
25,ma2c_nc,26000,-1,-748,-0.748,7.013593658032948
26,ma2c_nc,27000,-1,-553,-0.553,7.197999096971325
27,ma2c_nc,28000,-1,8,0.008,4.583441501753895
28,ma2c_nc,29000,-1,-501,-0.501,6.853903924042123
29,ma2c_nc,30000,-1,-218,-0.218,4.859884360764153
30,ma2c_nc,31000,-1,-522,-0.522,6.057682395107885
31,ma2c_nc,32000,-1,-62,-0.062,4.004766659869211
32,ma2c_nc,33000,-1,-272,-0.272,4.880985146463775
33,ma2c_nc,34000,-1,-420,-0.42,5.592816821602509
34,ma2c_nc,35000,-1,-828,-0.828,6.982579466071258
35,ma2c_nc,36000,-1,-1140,-1.14,8.910914655634404
36,ma2c_nc,37000,-1,-478,-0.478,6.008120837666302
37,ma2c_nc,38000,-1,-73,-0.073,4.621436032230674
38,ma2c_nc,39000,-1,-410,-0.41,5.793608547356302
39,ma2c_nc,40000,-1,-442,-0.442,6.053646504380646
40,ma2c_nc,41000,-1,-343,-0.343,5.617058927944408
41,ma2c_nc,42000,-1,-224,-0.224,5.346384198689803
42,ma2c_nc,43000,-1,-11,-0.011,3.665907663867163
43,ma2c_nc,44000,-1,-232,-0.232,5.1476379049035685
44,ma2c_nc,45000,-1,-592,-0.592,6.683227962594124
45,ma2c_nc,46000,-1,-102,-0.102,4.314115900158456
46,ma2c_nc,47000,-1,-39,-0.039,4.319893401462588
47,ma2c_nc,48000,-1,-215,-0.215,4.853738250050161
48,ma2c_nc,49000,-1,-116,-0.116,4.585470968177643
49,ma2c_nc,50000,-1,-145,-0.145,4.626875295488305
50,ma2c_nc,51000,-1,-144,-0.144,4.87434754608245
51,ma2c_nc,52000,-1,-215,-0.215,5.391546624114457
52,ma2c_nc,53000,-1,-176,-0.176,4.889276429084369
53,ma2c_nc,54000,-1,132,0.132,2.877598999165798
54,ma2c_nc,55000,-1,26,0.026,3.2904899331254613
55,ma2c_nc,56000,-1,115,0.115,3.2689103689150003
56,ma2c_nc,57000,-1,-259,-0.259,5.596956226378764
57,ma2c_nc,58000,-1,-3,-0.003,4.04017214979758
58,ma2c_nc,59000,-1,212,0.212,3.3176883518498244
59,ma2c_nc,60000,-1,-36,-0.036,4.61180051606745
60,ma2c_nc,61000,-1,99,0.099,3.280426649080878
61,ma2c_nc,62000,-1,233,0.233,2.8751888633618488
62,ma2c_nc,63000,-1,-134,-0.134,5.122503684722932
63,ma2c_nc,64000,-1,234,0.234,3.315002865760451
64,ma2c_nc,65000,-1,47,0.047,3.6442819594537417
65,ma2c_nc,66000,-1,207,0.207,3.3163460314026336
66,ma2c_nc,67000,-1,249,0.249,2.892576533127516
67,ma2c_nc,68000,-1,108,0.108,4.0289373288747
68,ma2c_nc,69000,-1,215,0.215,2.8657939563060015
69,ma2c_nc,70000,-1,178,0.178,2.839069565896545
70,ma2c_nc,71000,-1,161,0.161,2.8679398529257893
71,ma2c_nc,72000,-1,179,0.179,3.3107339065530472
72,ma2c_nc,73000,-1,294,0.294,2.395321272814985
73,ma2c_nc,74000,-1,185,0.185,3.2955689948778195
74,ma2c_nc,75000,-1,-50,-0.05,4.552746423863294
75,ma2c_nc,76000,-1,77,0.077,4.018839509112051
76,ma2c_nc,77000,-1,-20,-0.02,5.347111369702337
77,ma2c_nc,78000,-1,376,0.376,0.6345265951873097
78,ma2c_nc,79000,-1,-217,-0.217,5.591771722808435
79,ma2c_nc,80000,-1,41,0.041,3.6651492466201154
80,ma2c_nc,81000,-1,202,0.202,3.277376389736157
81,ma2c_nc,82000,-1,191,0.191,2.8737639081873096
82,ma2c_nc,83000,-1,15,0.015,4.558812893725733
83,ma2c_nc,84000,-1,220,0.22,2.835771499962576
84,ma2c_nc,85000,-1,274,0.274,2.3564643005995234
85,ma2c_nc,86000,-1,343,0.343,1.7255002173282972
86,ma2c_nc,87000,-1,113,0.113,3.6587198580924443
87,ma2c_nc,88000,-1,314,0.314,1.7347633844418089
88,ma2c_nc,89000,-1,84,0.084,3.9629463786430423
89,ma2c_nc,90000,-1,304,0.304,2.3633840145012406
90,ma2c_nc,91000,-1,236,0.236,2.3307303576347045
91,ma2c_nc,92000,-1,172,0.172,2.851037705818707
92,ma2c_nc,93000,-1,313,0.313,2.3901947619388677
93,ma2c_nc,94000,-1,116,0.116,3.663133085215443
94,ma2c_nc,95000,-1,297,0.297,2.3796619507820855
95,ma2c_nc,96000,-1,378,0.378,1.761566348452422
96,ma2c_nc,97000,-1,265,0.265,2.3758735235698047
97,ma2c_nc,98000,-1,319,0.319,1.67846328527019
98,ma2c_nc,99000,-1,357,0.357,0.6095498338938335
99,ma2c_nc,100000,-1,306,0.306,2.3850291402831956
